x0,x1,x2,x3,x4,y
1.6664298,0.595244,-0.16181779,-0.46774057,-0.23523423,1.6518018245697021
-0.0007723976,1.0507954,0.8638157,0.31806844,-0.040952925,0.5437012314796448
-2.7154489,-0.82809436,1.756049,-0.6879203,-0.41560465,-5.649674415588379
-0.40552282,-0.0098451255,-2.3166413,0.16337815,-1.6742371,-9.571710586547852
-1.646876,0.07249946,0.015247555,-0.978387,-1.1831653,-5.876352310180664
1.3083558,-0.4303995,1.4964622,0.053121097,-0.39513293,0.998953104019165
0.033820074,-2.0374436,-0.25902632,-1.4585238,-1.0388986,-2.448518753051758
-0.27106676,-0.42082366,1.4846407,1.6164677,-0.20155963,4.406802177429199
-0.605489,-0.020059532,0.09151273,2.8364496,-1.3055,-5.199337482452393
0.035385445,0.6240198,1.6676103,0.9293699,0.52372336,2.312180519104004
-1.0703415,-1.1558933,-0.28157157,-0.72146016,-0.105753586,-0.6976075768470764
-0.45875597,0.29547054,-1.6382271,-0.107009575,1.3002741,-5.180282115936279
1.2883654,-0.296844,0.782477,-0.18746305,1.4735222,-5.5188093185424805
-0.72663385,0.52990586,-1.5695325,1.0452302,0.3442503,-4.363204002380371
0.53331697,0.92278117,-1.111395,0.5500365,-2.717661,-22.84634017944336
0.14866646,-0.53163373,-0.70626134,-0.6802978,-0.88493156,-1.2397090196609497
-0.16902214,-0.28455892,-1.6189058,-0.6484801,-0.8721172,-0.3511312007904053
0.028016193,0.9040538,-1.3476633,1.8431712,0.33061656,-5.2678542137146
-0.44393915,-0.37031105,1.5876269,0.92394626,-0.9743869,-0.35846447944641113
1.0298467,-0.16441585,-1.9035549,-0.06833115,1.5605004,-6.015492916107178
0.18072124,-1.1202451,-1.5770086,-0.36437675,0.098218344,1.301031231880188
-0.10077,1.297522,-1.0307313,1.6010745,0.44770694,-4.002649784088135
-0.032508656,0.9347609,0.9283733,0.4142196,-1.4731601,-5.774010181427002
1.2476019,-0.22572386,0.4013942,0.6910809,-0.22990404,1.6438260078430176
-0.33345565,-0.09172925,-0.0119661195,1.2289793,-0.4980108,-1.1069121360778809
